기술,전반기평균(%),후반기평균(%),최근평균(%),증가율(%),전체평균(%)
Linux,10.1,12.7,13.3,26.2,12.0
FastAPI,4.2,5.2,6.4,23.3,5.2
Redis,9.9,11.6,10.6,18.1,10.7
Python,27.9,30.0,31.4,7.5,29.8
LLM,9.9,10.4,15.8,4.7,12.0
Git,31.7,32.4,31.0,2.5,31.7
GCP,12.2,12.5,11.6,2.2,12.1
Kubernetes,15.1,15.0,16.6,-0.3,15.6
CI/CD,21.6,21.5,22.0,-0.5,21.7
Spring,19.1,18.8,17.8,-1.3,18.6
Docker,16.7,16.4,18.4,-1.8,17.2
React,24.9,24.4,23.9,-2.3,24.4
Kotlin,10.1,9.7,10.4,-3.2,10.1
PostgreSQL,11.0,10.7,11.9,-3.3,11.2
NestJS,3.6,3.5,4.2,-3.3,3.8
Go,20.1,19.4,21.0,-3.6,20.2
MySQL,13.6,13.0,13.3,-4.1,13.3
AWS,36.3,34.3,34.4,-5.3,35.0
TypeScript,20.7,19.5,20.9,-5.7,20.4
Java,36.9,34.5,32.1,-6.5,34.5
