회사규모,카테고리,기술,비율(%)
스타트업/중소,언어,Python,25.7
스타트업/중소,언어,Java,29.0
스타트업/중소,언어,JavaScript,11.5
스타트업/중소,언어,TypeScript,18.6
스타트업/중소,언어,Kotlin,8.5
스타트업/중소,언어,Swift,2.3
스타트업/중소,언어,Go,17.4
스타트업/중소,언어,Rust,1.7
스타트업/중소,언어,C++,0.0
스타트업/중소,언어,C#,3.1
스타트업/중소,언어,Ruby,0.6
스타트업/중소,언어,Scala,1.0
스타트업/중소,언어,PHP,1.4
스타트업/중소,프레임워크,Spring,15.4
스타트업/중소,프레임워크,Spring Boot,8.5
스타트업/중소,프레임워크,Django,3.0
스타트업/중소,프레임워크,FastAPI,4.9
스타트업/중소,프레임워크,Flask,1.5
스타트업/중소,프레임워크,NestJS,3.5
스타트업/중소,프레임워크,Express,2.1
스타트업/중소,프레임워크,React,22.4
스타트업/중소,프레임워크,Vue,6.0
스타트업/중소,프레임워크,Angular,1.6
스타트업/중소,프레임워크,Next.js,0.0
스타트업/중소,프레임워크,Nuxt,0.7
스타트업/중소,프레임워크,Flutter,3.3
스타트업/중소,프레임워크,React Native,4.3
스타트업/중소,프레임워크,PyTorch,3.7
스타트업/중소,프레임워크,TensorFlow,2.3
스타트업/중소,프레임워크,LangChain,2.6
스타트업/중소,인프라,AWS,30.5
스타트업/중소,인프라,GCP,10.6
스타트업/중소,인프라,Azure,6.9
스타트업/중소,인프라,Docker,15.5
스타트업/중소,인프라,Kubernetes,13.3
스타트업/중소,인프라,Terraform,5.5
스타트업/중소,인프라,Jenkins,4.5
스타트업/중소,인프라,CI/CD,18.6
스타트업/중소,인프라,Linux,10.4
스타트업/중소,인프라,Nginx,1.3
스타트업/중소,인프라,Ansible,1.9
스타트업/중소,인프라,GitHub Actions,5.4
스타트업/중소,DB,MySQL,11.6
스타트업/중소,DB,PostgreSQL,9.7
스타트업/중소,DB,MongoDB,4.8
스타트업/중소,DB,Redis,9.2
스타트업/중소,DB,Elasticsearch,3.5
스타트업/중소,DB,Oracle,3.1
스타트업/중소,DB,MariaDB,2.2
스타트업/중소,DB,DynamoDB,1.2
스타트업/중소,DB,Kafka,7.2
스타트업/중소,DB,Airflow,3.5
스타트업/중소,AI_ML,LLM,10.4
스타트업/중소,AI_ML,RAG,5.3
스타트업/중소,AI_ML,Fine-tuning,0.7
스타트업/중소,AI_ML,Hugging Face,0.0
스타트업/중소,AI_ML,OpenAI,0.0
스타트업/중소,AI_ML,GPT,2.7
스타트업/중소,AI_ML,BERT,0.1
스타트업/중소,AI_ML,Stable Diffusion,0.0
스타트업/중소,AI_ML,MLflow,0.0
스타트업/중소,AI_ML,Kubeflow,0.0
대기업,언어,Python,24.4
대기업,언어,Java,38.5
대기업,언어,JavaScript,7.1
대기업,언어,TypeScript,6.4
대기업,언어,Kotlin,8.6
대기업,언어,Swift,2.1
대기업,언어,Go,16.3
대기업,언어,Rust,0.8
대기업,언어,C++,0.0
대기업,언어,C#,5.4
대기업,언어,Ruby,0.1
대기업,언어,Scala,2.0
대기업,언어,PHP,0.0
대기업,프레임워크,Spring,22.6
대기업,프레임워크,Spring Boot,8.4
대기업,프레임워크,Django,0.2
대기업,프레임워크,FastAPI,0.9
대기업,프레임워크,Flask,0.0
대기업,프레임워크,NestJS,1.0
대기업,프레임워크,Express,0.7
대기업,프레임워크,React,11.5
대기업,프레임워크,Vue,4.7
대기업,프레임워크,Angular,0.8
대기업,프레임워크,Next.js,0.0
대기업,프레임워크,Nuxt,0.2
대기업,프레임워크,Flutter,0.9
대기업,프레임워크,React Native,0.8
대기업,프레임워크,PyTorch,1.6
대기업,프레임워크,TensorFlow,1.4
대기업,프레임워크,LangChain,1.2
대기업,인프라,AWS,25.4
대기업,인프라,GCP,8.1
대기업,인프라,Azure,10.8
대기업,인프라,Docker,8.8
대기업,인프라,Kubernetes,13.7
대기업,인프라,Terraform,3.7
대기업,인프라,Jenkins,4.2
대기업,인프라,CI/CD,17.7
대기업,인프라,Linux,10.5
대기업,인프라,Nginx,2.3
대기업,인프라,Ansible,2.2
대기업,인프라,GitHub Actions,1.2
대기업,DB,MySQL,8.8
대기업,DB,PostgreSQL,8.5
대기업,DB,MongoDB,6.2
대기업,DB,Redis,9.0
대기업,DB,Elasticsearch,3.2
대기업,DB,Oracle,6.4
대기업,DB,MariaDB,2.7
대기업,DB,DynamoDB,0.9
대기업,DB,Kafka,9.6
대기업,DB,Airflow,4.6
대기업,AI_ML,LLM,9.1
대기업,AI_ML,RAG,4.2
대기업,AI_ML,Fine-tuning,0.9
대기업,AI_ML,Hugging Face,0.0
대기업,AI_ML,OpenAI,0.0
대기업,AI_ML,GPT,1.3
대기업,AI_ML,BERT,0.0
대기업,AI_ML,Stable Diffusion,0.0
대기업,AI_ML,MLflow,0.0
대기업,AI_ML,Kubeflow,0.0
